image_id,label,label_name
Actinic keratosis/ISIC_0030242_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0059561.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0070379.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0061787_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0069932.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0063359.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0065476.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0026149_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0057072.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0030586_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0071605.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0054359.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0071946_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0061687.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0066973.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0024511.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0072584.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0060775.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0025427.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0067377.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0030491_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0027580.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0026857_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0067945_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0064789.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0028063.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0069283.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0054878.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0067394.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0066509.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0056002_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0060593.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0068419_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0059139_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0072652.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0066785.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0057739_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0027536.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0031108.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0057126.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0069818.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0058379_rot.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0026149.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0065952.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0062743.jpg,0,Actinic keratosis
Actinic keratosis/ISIC_0063573.jpg,0,Actinic keratosis
